shift,date,age,latitude,longitude,primary_fur_color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,unique_squirrel_id
PM,2018-10-06 00:00:00,Adult,40.7972399133816,-73.9568802149818,Gray,Ground Plane,,true,false,false,false,true,,false,false,false,false,false,false,true,false,39C-PM-1006-01
AM,2018-10-08 00:00:00,Juvenile,40.7690526441109,-73.9724642436394,Gray,Ground Plane,bush,false,false,false,false,true,,false,false,false,false,false,false,true,false,6G-AM-1008-02
AM,2018-10-07 00:00:00,Juvenile,40.7760432720017,-73.9690175838534,Gray,Ground Plane,,false,false,false,true,false,,false,false,false,false,false,false,true,false,14F-AM-1007-05
PM,2018-10-13 00:00:00,Adult,40.7690280985956,-73.9704082821356,Gray,Ground Plane,,false,false,false,false,false,playing with #5,false,false,false,false,true,false,false,false,6I-PM-1013-06
PM,2018-10-10 00:00:00,Adult,40.7768811640021,-73.9684910712272,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,15F-PM-1010-05
PM,2018-10-12 00:00:00,Adult,40.7735232648872,-73.9768674812942,Gray,Ground Plane,hiding in bushes,false,false,false,false,true,,false,false,false,false,false,false,false,true,8B-PM-1012-02
PM,2018-10-17 00:00:00,Adult,40.7698885241349,-73.9797084866613,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,true,3A-PM-1017-06
AM,2018-10-17 00:00:00,Adult,40.7923130402793,-73.952819267977,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,36I-AM-1017-02
AM,2018-10-08 00:00:00,Adult,40.7692602628745,-73.9745630038492,Cinnamon,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,true,false,false,5E-AM-1008-06
PM,2018-10-17 00:00:00,Adult,40.7903365788694,-73.9595002339508,Gray,,,false,false,false,true,true,,false,false,false,false,false,false,true,false,32E-PM-1017-13
